date,open,high,low,close,volume,return
2013-02-08,31.62,32.42,31.61,31.85,4908434,0.0
2013-02-11,31.64,31.7,31.05,31.32,2966042,-0.01664050235478809
2013-02-12,31.3,31.71,31.14,31.49,3067911,0.005427841634738195
2013-02-13,31.65,32.16,31.39,31.88,2996131,0.012384884090187454
2013-02-14,40.8,44.18,40.05,43.75,50292954,0.37233375156838155
2013-02-15,43.2,44.2,43.01,43.39,10441047,-0.008228571428571363
2013-02-19,43.3,43.71,42.86,43.28,5268699,-0.002535146347084516
2013-02-20,43.18,43.19,41.13,41.8,7536458,-0.03419593345656202
2013-02-21,43.17,43.43,42.04,42.96,10012673,0.02775119617224897
2013-02-22,43.07,43.975,42.91,43.96,3032185,0.023277467411545683
2013-02-25,44.13,44.99,43.26,43.97,5603082,0.00022747952684243344
2013-02-26,44.06,44.85,43.89,44.71,2286512,0.01682965658403468
2013-02-27,44.55,44.92,44.4,44.65,2723630,-0.0013419816595839906
2013-02-28,44.49,44.74,43.89,44.24,2555935,-0.009182530795072696
2013-03-01,44.14,44.33,43.61,43.84,2625056,-0.009041591320072317
2013-03-04,43.62,44.54,43.6,44.45,1725402,0.013914233576642232
2013-03-05,45.01,45.01,44.01,44.14,2569855,-0.006974128233970811
2013-03-06,44.24,44.24,43.07,43.25,2901530,-0.020163117353874105
2013-03-07,43.25,44.095,43.24,44.05,2574857,0.018497109826589586
2013-03-08,44.18,44.9,42.42,43.99,4454555,-0.001362088535754702
2013-03-11,43.63,43.92,43.38,43.47,2270041,-0.011820868379177174
2013-03-12,43.41,43.635,42.93,43.28,2403720,-0.004370830457786967
2013-03-13,43.32,44.01,43.32,43.89,1543045,0.01409426987060991
2013-03-14,43.95,44.84,43.83,44.71,2231674,0.01868307131465019
2013-03-15,44.55,45.92,44.4,45.75,4676324,0.023261015432789023
2013-03-18,46.7,47.29,46.44,47.1,4071399,0.029508196721311553
2013-03-19,47.12,47.35,46.55,47.2,2670828,0.002123142250530785
2013-03-20,47.43,47.82,46.82,46.87,1879221,-0.006991525423728939
2013-03-21,46.58,47.27,46.26,46.26,1669159,-0.013014721570300813
2013-03-22,46.21,47.09,46.15,46.59,1380680,0.007133592736705774
2013-03-25,46.74,46.88,46.12,46.79,1400278,0.0042927666881305004
2013-03-26,47.01,47.58,46.8525,47.54,1244757,0.016029066039752182
2013-03-27,47.17,47.48,46.88,47.41,809371,-0.0027345393352966596
2013-03-28,47.54,47.674,47.12,47.64,1493496,0.0048512971946848005
2013-04-01,47.66,47.68,46.94,47.3,1017561,-0.007136859781696092
2013-04-02,47.48,49.215,47.33,48.79,2826200,0.031501057082452544
2013-04-03,48.91,48.91,48.09,48.35,3606034,-0.009018241442918629
2013-04-04,48.21,48.88,47.78,48.25,2969415,-0.0020682523267838704
2013-04-05,47.55,48.05,47.51,47.84,2980524,-0.008497409326424843
2013-04-08,49.06,49.233999999999995,48.2,48.57,3566520,0.01525919732441472
2013-04-09,48.59,48.88,48.25,48.63,2619680,0.001235330450895633
2013-04-10,48.5,49.15,48.2,48.77,4581887,0.002878881348961526
2013-04-11,48.03,49.54,48.03,49.42,3181539,0.013327865491080448
2013-04-12,48.99,49.54,48.77,49.19,2183512,-0.004653986240388597
2013-04-15,48.82,49.05,47.98,48.18,2857284,-0.020532628583045276
